PairdID,Ecosystem,SourceUUTMethodName,SourceUUTStart,SourceUUTEnd,TargetMethodName,TargetMethodStart,TargetMethodEnd,SourceMatchedPercent,SourceUnMatchedPercent,TargetMatchedPercent,TargetUnMatchedPercent,SourceMatchingGroup,Rating1,Rating2,Rating,Rater1CloneType,Rater2CloneType,Rater1AcceptStatus,Rater2AcceptStatus,,Rating,,"14, 21, 55, 59, 64, 68, 94, 96, 97, 122, 134, 137, 142, 152, 163, 164, 174, 177, 178, 211, 222, 230, 238, 249, 273, 275, 284, 285, 311, 314, 315, 322"
40,dirkriehle/wahlzeit,equals,111,119,equals,53,63,96.15,3.85,98.04,1.96,90-100,0,0,0,3,0,Accept,,,,,
41,dirkriehle/wahlzeit,getCartesianDistance,144,162,asSphericCoordinate,183,190,64.17,35.83,54.55,45.45,60-69,0,0,0,4,0,Reject,,,,,
42,jexp/batch-import,finish,87,93,finish,124,130,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
43,jexp/batch-import,finish,87,93,finish,124,130,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
44,jenkinsci/m2release-plugin,getDocument,470,508,checkAuthentication,153,211,94.41,5.59,57.47,42.53,90-100,0,0,0,4,0,Reject,,,,,
45,Sable/heros,method,67,76,method,46,55,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
46,Sable/heros,method,67,76,method,46,55,100,0,100,0,100,4,0,2,2,0,Accept,,,,,
47,mboudreau/Alternator,save,143,147,save,143,147,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
48,mboudreau/Alternator,listTables,226,230,listTables,201,206,100,0,88.24,11.76,100,4,0,2,1,0,Accept,,,,,
49,onelogin/java-saml,isValid,368,484,isValid,175,290,90.42,9.58,89.88,10.12,90-100,0,0,0,3,0,Accept,,,,,
50,onelogin/java-saml,isValid,368,490,isValid,175,290,87.97,12.03,90.05,9.95,80-89,0,0,0,3,0,Accept,,,,,
51,fakemongo/fongo,Fongo,45,51,FongoAsync,64,71,100,0,65,35,100,0,0,0,3,0,Reject,,,,,
52,fakemongo/fongo,Fongo,45,51,FongoAsync,64,71,100,0,65,35,100,0,0,0,3,0,Reject,,,,,
53,devnied/EMV-NFC-Paycard-Enrollment,EmvParser,105,111,EmvParser,87,93,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
54,devnied/EMV-NFC-Paycard-Enrollment,TagImpl,40,44,TagImpl,20,24,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
55,devnied/EMV-NFC-Paycard-Enrollment,fromString,177,194,fromString,82,103,95.56,4.44,91.49,8.51,90-100,4,0,2,3,3,Accept,Accept,,0,,
56,devnied/EMV-NFC-Paycard-Enrollment,extractTrack2Data,62,89,extractTrack2Data,39,62,77.36,22.64,83.67,16.33,70-79,4,0,2,4,0,Accept,,,,,
57,cribbstechnologies/Java-Mandrill-Wrapper,performPing,48,53,getSenders,78,85,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
58,cribbstechnologies/Java-Mandrill-Wrapper,getCreated_at,20,24,getCreated_at,23,27,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
59,pires/obd-java-api,getValue,58,62,getValue,60,64,100,0,100,0,100,4,4,4,1,1,Accept,Accept,,1,,
60,pires/obd-java-api,getValue,60,64,getValue,68,72,100,0,100,0,100,4,0,2,1,0,Accept,,,,,
61,pires/obd-java-api,run,94,102,run,76,82,60.98,39.02,100,0,60-69,4,0,2,3,0,Accept,,,,,
62,pires/obd-java-api,run,84,94,run,76,82,54.35,45.65,100,0,50-59,4,0,2,3,0,Accept,,,,,
63,mopub/mopub-android-sdk,EventForwardingBroadcastReceiver,21,27,RewardedVideoBroadcastReceiver,23,31,100,0,91.67,8.33,100,0,0,0,2,0,Accept,,,,,
64,mopub/mopub-android-sdk,getRewardedAdCurrencyName,205,210,getRewardedAdCurrencyName,189,194,100,0,100,0,100,4,4,4,1,1,Accept,Accept,,1,,
