ecosystem,size
tomakehurst/wiremock,4
kairosdb/kairosdb-client,4
plutext/docx4j-ImportXHTML,4
NLPchina/elasticsearch-sql,4
RestExpress/PluginExpress,4
Ecwid/ecwid-mailchimp,4
komoot/photon,4
alibaba/fastjson,4
jboss-switchyard/quickstarts,4
DozerMapper/dozer,4
seam/faces,4
tomighty/tomighty,4
HdrHistogram/HdrHistogram,4
ljader/redmine-mylyn-plugin,4
paymill/paymill-java,4
kinow/testlink-java-api,4
AdamBien/lightfish,4
vipinsthename/environment-dashboard,4
jenkinsci/clearcase-plugin,4
alexxiyang/shiro-redis,4
jmeter-maven-plugin/jmeter-maven-plugin,4
apache/maven-surefire,4
square/okio,4
spring-cloud/spring-cloud-connectors,4
logstash/log4j-jsonevent-layout,4
eclipse/nebula,4
skyscreamer/JSONassert,4
mpetazzoni/ttorrent,4
versly/wsdoc,4
omnirom/android_frameworks_opt_telephony,4
alphazero/jredis,4
awslabs/amazon-kinesis-client,4
dreamhead/moco,4
jenkinsci/analysis-core-plugin,4
cloudfoundry-community/spring-boot-cf-service-broker,4
ocpsoft/rewrite,4
mybatis/guice,4
jenkinsci/vsphere-cloud-plugin,4
modcluster/mod_cluster,4
rackerlabs/blueflood,4
pentaho/modeler,4
jexp/batch-import,4
airbrake/airbrake-java,4
square/phrase,4
jenkinsci/git-parameter-plugin,5
Cloudname/cloudname,5
jenkinsci/ec2-plugin,5
ligi/FAST,5
datasift/dropwizard-extra,5
rcarz/jira-client,5
mboudreau/Alternator,5
jbake-org/jbake,5
Netflix/ribbon,5
jenkinsci/artifactory-plugin,5
pires/obd-java-api,5
jenkinsci/github-plugin,5
addthis/stream-lib,5
jnr/jnr-ffi,5
jenkinsci/promoted-builds-plugin,5
trautonen/coveralls-maven-plugin,5
erogenousbeef/BigReactors,5
jbossas/jboss-ejb-client,5
couchbase/couchbase-java-client,5
jenkinsci/ci-game-plugin,5
fasseg/exp4j,5
skyscreamer/nevado,5
aidancbrady/Mekanism,5
kpelykh/docker-java,5
apache/commons-io,5
jenkinsci/claim-plugin,5
msgpack/msgpack-java,5
ronmamo/reflections,5
Progether/JAdventure,5
ryantenney/metrics-spring,5
shyiko/mysql-binlog-connector-java,5
fusesource/jansi,5
BoltsFramework/Bolts-Android,5
xetorthio/johm,5
jenkinsci/fitnesse-plugin,5
Codecademy/EventHub,5
jboss-switchyard/release,5
logstash/logstash-logback-encoder,5
Netflix/archaius,5
octo-technology/sonar-objective-c,5
liferay/liferay-faces,5
shrinkwrap/shrinkwrap,5
JSQLParser/JSqlParser,5
springtestdbunit/spring-test-dbunit,5
jenkinsci/cobertura-plugin,5
jenkinsci/jclouds-plugin,5
antlr/antlr3,5
jdmr/mateo,5
reark/reark,5
jenkinsci/dashboard-view-plugin,5
jayway/JsonPath,5
nathanmarz/storm-starter,6
rschreijer/lutung,6
LMAX-Exchange/disruptor,6
jenkinsci/deploy-plugin,6
shrinkwrap/resolver,6
wiztools/rest-client,6
jenkinsci/git-plugin,6
jenkinsci/jira-plugin,6
functionaljava/functionaljava,6
michaellavelle/spring-data-dynamodb,6
square/android-times-square,6
davidB/metrics-influxdb,6
RuedigerMoeller/fast-serialization,6
magro/memcached-session-manager,6
Netflix/karyon,6
vkostyukov/la4j,6
picketbox/picketbox,6
jenkinsci/performance-plugin,6
VerbalExpressions/JavaVerbalExpressions,6
bguerout/jongo,6
antlr/stringtemplate4,6
gresrun/jesque,6
jpos/jPOS-EE,6
52North/WPS,6
yandex-qatools/htmlelements,6
schema-repo/schema-repo,6
beders/Resty,6
square/otto,6
reficio/p2-maven-plugin,6
jenkinsci/warnings-plugin,6
apache/deltaspike,6
wwadge/bonecp,6
jenkinsci/testng-plugin-plugin,6
jenkinsci/docker-build-step-plugin,6
tumblr/jumblr,6
jcabi/jcabi-aspects,6
HotswapProjects/HotswapAgent,6
devnied/EMV-NFC-Paycard-Enrollment,6
jenkinsci/active-directory-plugin,6
jenkinsci/subversion-plugin,6
druid-io/druid-api,6
rnewson/couchdb-lucene,6
jenkinsci/publish-over-ssh-plugin,6
apache/maven-wagon,6
jenkinsci/m2release-plugin,6
AdamBien/afterburner.fx,6
dirkriehle/wahlzeit,6
aerospike/aerospike-client-java,6
rest-driver/rest-driver,7
jnr/jnr-posix,7
dankurka/mgwt,7
peholmst/vaadin4spring,7
lightcouch/LightCouch,7
spotify/docker-client,7
uudashr/jsmpp,7
lordofthejars/nosql-unit,7
ua-parser/uap-java,7
Netflix/servo,7
yahoo/samoa,7
jenkinsci/ssh-slaves-plugin,7
apache/commons-dbutils,7
vrapper/vrapper,7
Agilefant/agilefant,7
Netflix/feign,7
mesos/storm,7
jboss-logging/jboss-logmanager,7
jboss-remoting/jboss-remoting,7
xnio/xnio,7
jenkinsci/scm-sync-configuration-plugin,7
lessthanoptimal/BoofCV,7
neuland/jade4j,7
geosolutions-it/geoserver-manager,7
briandilley/jsonrpc4j,7
